Pb_material,Postcode,Supply_reservoir,OS_grid_region,OS_grouping,Pb206_207,Pb208_207
EH pipe,,,,,1.171,2.452
EH pipe,,,,,1.169,2.45
EH pipe,,,,,1.169,2.458
EH pipe,,,,,1.156,2.429
EH pipe,,,,,1.17,2.477
EH pipe,,,,,1.169,2.453
IV Pipe,,,,,1.129,2.43
G Pipe,,,,,1.170,2.439
Paint,,,,,1.117,2.422
UK coal,,,,,1.185,2.466
Geological,,,,,1.218,2.465
Geological,,,,,1.147,2.428
Geological,,,,,1.166,2.45
UK petrol,,,,,1.082,2.342
,KA32TP,Amlaird Milngavie Gorbals Zone,NS,Central/South,1.125,2.414
,EH477DP,Balmore,NS,Central/South,1.075,2.355
,EH482LY,Balmore,NS,Central/South,1.146,2.293
,EH483RG,Balmore,NS,Central/South,1.164,2.422
,EH496ED,Balmore,NS,Central/South,1.16,2.458
,EH496LR,Balmore,NS,Central/South,1.056,2.326
,EH496RH,Balmore,NS,Central/South,1.176,2.447
,G209LF,Balmore,NS,Central/South,1.093,2.37
,G326PA,Balmore,NS,Central/South,1.142,2.441
,G333BZ,Balmore,NS,Central/South,1.111,2.364
,G639DL,Balmore,NS,Central/South,1.145,2.348
,G642JS,Balmore,NS,Central/South,1.104,2.364
,G643BS,Balmore,NS,Central/South,1.092,2.373
,G664DH,Balmore,NS,Central/South,1.128,2.394
,G665NN,Balmore,NS,Central/South,1.127,2.377
,G665QS,Balmore,NS,Central/South,1.117,2.385
,G668JA,Balmore,NS,Central/South,1.126,2.368
,G668JX,Balmore,NS,Central/South,1.123,2.383
,G696QH,Balmore,NS,Central/South,1.123,2.371
,G697BE,Balmore,NS,Central/South,1.106,2.368
,G697NA,Balmore,NS,Central/South,1.177,2.46
,G661EU,Balmore Carron Valley,NS,Central/South,1.15,2.405
,G662RT,Balmore Carron Valley,NS,Central/South,1.076,2.323
,G663PG,Balmore Carron Valley,NS,Central/South,1.126,2.406
,G689GG,Balmore Carron Valley,NS,Central/South,1.114,2.391
,G444TH,Balmore Castlemilk,NS,Central/South,1.153,2.423
,G333GD,Balmore,NS,Central/South,1.084,2.35
,G333QB,Balmore,NS,Central/South,1.09,2.325
,G847AP,Blairlinnans,NS,Central/South,1.106,2.367
,G614SE,Burncrooks,NS,Central/South,1.154,2.387
,G628LQ,Burncrooks,NS,Central/South,1.129,2.376
,FK12BX,Carron Valley,NS,Central/South,1.098,2.363
,FK13DS,Carron Valley,NS,Central/South,1.127,2.403
,FK20XD,Carron Valley,NS,Central/South,1.166,2.408
,FK27YH,Carron Valley,NS,Central/South,1.099,2.379
,FK28BA,Carron Valley,NS,Central/South,1.142,2.416
,FK29PR,Carron Valley,NS,Central/South,1.133,2.404
,FK41TL,Carron Valley,NS,Central/South,1.143,2.281
,FK53NQ,Carron Valley,NS,Central/South,1.077,2.324
,FK66AN,Carron Valley,NS,Central/South,1.113,2.41
,FK66BH,Carron Valley,NS,Central/South,1.167,2.407
,G744JZ,Daer,NS,Central/South,1.163,2.455
,G758GU,Daer,NS,Central/South,1.161,2.402
,G759FJ,Daer,NS,Central/South,1.123,2.381
,KA290EJ,Greenock,NS,Central/South,1.136,2.278
,KA308TD,Greenock,NS,Central/South,1.151,2.406
,G115BL,Milngavie,NS,Central/South,1.093,2.344
,G117ES,Milngavie,NS,Central/South,1.134,2.409
,G117HD,Milngavie,NS,Central/South,1.1165,2.389
,G117QQ,Milngavie,NS,Central/South,1.08,2.336
,G120NN,Milngavie,NS,Central/South,1.12,2.374
,G132TA,Milngavie,NS,Central/South,1.104,2.383
,G156JZ,Milngavie,NS,Central/South,1.168,2.441
,G156XB,Milngavie,NS,Central/South,1.098,2.353
,G157JB,Milngavie,NS,Central/South,1.097,2.36
,G200NH,Milngavie,NS,Central/South,1.134,2.393
,G327AY,Milngavie,NS,Central/South,1.113,2.374
,G328ES,Milngavie,NS,Central/South,1.16,2.432
,G328LH,Milngavie,NS,Central/South,1.114,2.389
,G402LR,Milngavie,NS,Central/South,1.101,2.38
,G404SW,Milngavie,NS,Central/South,1.102,2.35
,G413BQ,Milngavie,NS,Central/South,1.11,2.384
,G413EY,Milngavie,NS,Central/South,1.087,2.347
,G413SP,Milngavie,NS,Central/South,1.098,2.373
,G414HD,Milngavie,NS,Central/South,1.062,2.31
,G415BZ,Milngavie,NS,Central/South,1.155,2.423
,G420BH,Milngavie,NS,Central/South,1.106,2.36
,G420HU,Milngavie,NS,Central/South,1.09,2.327
,G432AR,Milngavie,NS,Central/South,1.088,2.336
,G432SR,Milngavie,NS,Central/South,1.151,2.366
,G444BS,Milngavie,NS,Central/South,1.079,2.329
,G444TT,Milngavie,NS,Central/South,1.159,2.423
,G511AP,Milngavie,NS,Central/South,1.13,2.394
,G513EF,Milngavie,NS,Central/South,1.149,2.422
,G521HA,Milngavie,NS,Central/South,1.114,2.378
