Pb_material,Postcode,Supply_reservoir,OS_grid_region,OS_grouping,Total_Pb,Pb206_207,St_dev_x,Pb208_207,St_dev_y
Edi/EL pipe,,,,,,1.17,0.002,2.451,0.002
G pipe,G44 4LN ,,,,,1.17,0.005,2.449,0.006
Paint,,,,,,1.117,0.03,2.422,0.062
UK coal,,,,,,1.185,0.002,2.466,0.005
Geological (river),,,,,,1.218,0.003,2.465,0.015
Geological (lake),,,,,,1.147,0.002,2.428,0.005
Geological (peat) ,,,,,,1.169,0.004,2.45,0.003
UK petrol,,,,,,1.082,0.024,2.342,0.018
Scottish ore ,,,,,,1.17,0.003,2.44,0.003
Australian ore ,Australian ore ,,,,,1.04,,2.319,
Water sample,KA32TP,Amlaird Milngavie Gorbals Zone,NS,Central/South,0.107,1.125,,2.414,
Water sample,EH477DP,Balmore,NS,Central/South,2.168,1.075,,2.355,
Water sample,EH482LY,Balmore,NS,Central/South,0.681,1.146,,2.293,
Water sample,EH483RG,Balmore,NS,Central/South,0.172,1.164,,2.422,
Water sample,EH496ED,Balmore,NS,Central/South,0.384,1.16,,2.458,
Water sample,EH496LR,Balmore,NS,Central/South,0.217,1.056,,2.326,
Water sample,EH496RH,Balmore,NS,Central/South,1.209,1.176,,2.447,
Water sample,G209LF,Balmore,NS,Central/South,0.149,1.093,,2.37,
Water sample,G326PA,Balmore,NS,Central/South,0.885,1.142,,2.441,
Water sample,G333BZ,Balmore,NS,Central/South,0.122,1.111,,2.364,
Water sample,G639DL,Balmore,NS,Central/South,0.247,1.145,,2.348,
Water sample,G642JS,Balmore,NS,Central/South,0.255,1.104,,2.364,
Water sample,G643BS,Balmore,NS,Central/South,0.017,1.092,,2.373,
Water sample,G664DH,Balmore,NS,Central/South,0.261,1.128,,2.394,
Water sample,G665NN,Balmore,NS,Central/South,0.201,1.127,,2.377,
Water sample,G665QS,Balmore,NS,Central/South,0.164,1.117,,2.385,
Water sample,G668JA,Balmore,NS,Central/South,0.279,1.126,,2.368,
Water sample,G668JX,Balmore,NS,Central/South,0.112,1.123,,2.383,
Water sample,G696QH,Balmore,NS,Central/South,0.685,1.123,,2.371,
Water sample,G697BE,Balmore,NS,Central/South,0.342,1.106,,2.368,
Water sample,G697NA,Balmore,NS,Central/South,0.027,1.177,,2.46,
Water sample,G661EU,Balmore Carron Valley,NS,Central/South,0.477,1.15,,2.405,
Water sample,G662RT,Balmore Carron Valley,NS,Central/South,0.257,1.076,,2.323,
Water sample,G663PG,Balmore Carron Valley,NS,Central/South,0.011,1.126,,2.406,
Water sample,G689GG,Balmore Carron Valley,NS,Central/South,0.155,1.114,,2.391,
Water sample,G444TH,Balmore Castlemilk,NS,Central/South,0.319,1.153,,2.423,
Water sample,G333GD,Balmore,NS,Central/South,0.005,1.084,,2.35,
Water sample,G333QB,Balmore,NS,Central/South,0.778,1.09,,2.325,
Water sample,G847AP,Blairlinnans,NS,Central/South,1.825,1.106,,2.367,
Water sample,G614SE,Burncrooks,NS,Central/South,0.038,1.154,,2.387,
Water sample,G628LQ,Burncrooks,NS,Central/South,0.169,1.129,,2.376,
Water sample,FK12BX,Carron Valley,NS,Central/South,0.038,1.098,,2.363,
Water sample,FK13DS,Carron Valley,NS,Central/South,1.868,1.127,,2.403,
Water sample,FK20XD,Carron Valley,NS,Central/South,0.047,1.166,,2.408,
Water sample,FK27YH,Carron Valley,NS,Central/South,0.064,1.099,,2.379,
Water sample,FK28BA,Carron Valley,NS,Central/South,-0.017,1.142,,2.416,
Water sample,FK29PR,Carron Valley,NS,Central/South,0.752,1.133,,2.404,
Water sample,FK41TL,Carron Valley,NS,Central/South,0.025,1.143,,2.281,
Water sample,FK53NQ,Carron Valley,NS,Central/South,0.209,1.077,,2.324,
Water sample,FK66AN,Carron Valley,NS,Central/South,0.034,1.113,,2.41,
Water sample,FK66BH,Carron Valley,NS,Central/South,0.062,1.167,,2.407,
Water sample,G744JZ,Daer,NS,Central/South,9.162,1.163,,2.455,
Water sample,G758GU,Daer,NS,Central/South,0.035,1.161,,2.402,
Water sample,G759FJ,Daer,NS,Central/South,0.25,1.123,,2.381,
Water sample,KA290EJ,Greenock,NS,Central/South,25.28,1.136,,2.278,
Water sample,KA308TD,Greenock,NS,Central/South,0.051,1.151,,2.406,
Water sample,G115BL,Milngavie,NS,Central/South,0.255,1.093,,2.344,
Water sample,G117ES,Milngavie,NS,Central/South,0.088,1.134,,2.409,
Water sample,G117HD,Milngavie,NS,Central/South,1.865,1.1165,,2.389,
Water sample,G117QQ,Milngavie,NS,Central/South,0.7625,1.08,,2.336,
Water sample,G120NN,Milngavie,NS,Central/South,0.182,1.12,,2.374,
Water sample,G132TA,Milngavie,NS,Central/South,0.299,1.104,,2.383,
Water sample,G156JZ,Milngavie,NS,Central/South,0.091,1.168,,2.441,
Water sample,G156XB,Milngavie,NS,Central/South,2.444,1.098,,2.353,
Water sample,G157JB,Milngavie,NS,Central/South,0.072,1.097,,2.36,
Water sample,G200NH,Milngavie,NS,Central/South,0.229,1.134,,2.393,
Water sample,G327AY,Milngavie,NS,Central/South,0.527,1.113,,2.374,
Water sample,G328ES,Milngavie,NS,Central/South,0.355,1.16,,2.432,
Water sample,G328LH,Milngavie,NS,Central/South,0.083,1.114,,2.389,
Water sample,G402LR,Milngavie,NS,Central/South,0.061,1.101,,2.38,
Water sample,G404SW,Milngavie,NS,Central/South,0.051,1.102,,2.35,
Water sample,G413BQ,Milngavie,NS,Central/South,0.21,1.11,,2.384,
Water sample,G413EY,Milngavie,NS,Central/South,0.066,1.087,,2.347,
Water sample,G413SP,Milngavie,NS,Central/South,0.206,1.098,,2.373,
Water sample,G414HD,Milngavie,NS,Central/South,0.167,1.062,,2.31,
Water sample,G415BZ,Milngavie,NS,Central/South,0.163,1.155,,2.423,
Water sample,G420BH,Milngavie,NS,Central/South,1.292,1.106,,2.36,
Water sample,G420HU,Milngavie,NS,Central/South,0.75,1.09,,2.327,
Water sample,G432AR,Milngavie,NS,Central/South,0.121,1.088,,2.336,
Water sample,G432SR,Milngavie,NS,Central/South,0.173,1.151,,2.366,
Water sample,G444BS,Milngavie,NS,Central/South,0,1.079,,2.329,
Water sample,G444TT,Milngavie,NS,Central/South,0.161,1.159,,2.423,
Water sample,G511AP,Milngavie,NS,Central/South,1.494,1.13,,2.394,
Water sample,G513EF,Milngavie,NS,Central/South,0.495,1.149,,2.422,
Water sample,G521HA,Milngavie,NS,Central/South,0.203,1.114,,2.378,
Water sample,G536PX,Milngavie,NS,Central/South,1.183,1.179,,2.456,
Water sample,G611BZ,Milngavie,NS,Central/South,0.093,1.137,,2.423,
Water sample,G611RX,Milngavie,NS,Central/South,1.783,1.133,,2.361,
Water sample,G612BN,Milngavie,NS,Central/South,0.057,1.1,,2.336,
Water sample,G117EG,Milngavie,NS,Central/South,0.049,1.128,,2.408,
Water sample,EH470PZ,Pateshill,NS,Central/South,0.408,1.079,,2.348,
Water sample,FK30JN,Turret/Balmore/Carron Valley,NS,Central/South,0.417,1.117,,2.391,
Water sample,EH459NA,Bonnycraig,NT,Central/South,-0.039,1.111,,2.33,
Water sample,EH459NB,Bonnycraig,NT,Central/South,0.298,1.103,,2.375,
Water sample,EH459ND,Bonnycraig,NT,Central/South,0.281,1.102,,2.367,
Water sample,EH320RU,Castle Moffat,NT,Central/South,0.636,1.107,,2.385,
Water sample,EH332DB,Castle Moffat,NT,Central/South,0.822,1.154,,2.277,
Water sample,EH332EN,Castle Moffat,NT,Central/South,0.004,1.142,,2.383,
Water sample,EH413BE,Castle Moffat,NT,Central/South,0.051,1.144,,2.396,
Water sample,EH414AE,Castle Moffat,NT,Central/South,0.528,1.104,,2.364,
Water sample,EH421GN,Castle Moffat,NT,Central/South,0.182,1.091,,2.36,
Water sample,EH104JS,Glencorse,NT,Central/South,1.291,1.165,,2.455,
Water sample,EH105BN,Glencorse,NT,Central/South,0.428,1.131,,2.412,
Water sample,EH105EZ,Glencorse,NT,Central/South,1.049,1.168,,2.463,
Water sample,EH105HA,Glencorse,NT,Central/South,0.184,1.076,,2.348,
Water sample,EH105QT,Glencorse,NT,Central/South,1.438,1.133,,2.376,
Water sample,EH105RA,Glencorse,NT,Central/South,2.086,1.174,,2.083,
Water sample,EH11 1QR,Glencorse,NT,Central/South,0.372,1.121,,2.404,
Water sample,EH112QP,Glencorse,NT,Central/South,0.285,1.155,,2.444,
Water sample,EH113UJ,Glencorse,NT,Central/South,0.303,1.144,,2.418,
Water sample,EH125QF,Glencorse,NT,Central/South,0.511,1.134,,2.408,
Water sample,EH125TN,Glencorse,NT,Central/South,0.572,1.144,,2.422,
Water sample,EH126AQ,Glencorse,NT,Central/South,0.5,1.165,,2.458,
Water sample,EH128BZ,Glencorse,NT,Central/South,0.5,1.125,,2.403,
Water sample,EH151JT,Glencorse,NT,Central/South,0,1.085,,2.373,
Water sample,EH166PE,Glencorse,NT,Central/South,0.348,1.094,,2.373,
Water sample,EH178HU,Glencorse,NT,Central/South,0.076,1.132,,2.405,
Water sample,EH209JE,Glencorse,NT,Central/South,0.3,1.168,,2.441,
Water sample,EH209JH,Glencorse,NT,Central/South,0.254,1.079,,2.342,
Water sample,EH3 9JB,Glencorse,NT,Central/South,0.677,1.135,,2.404,
Water sample,EH41QD,Glencorse,NT,Central/South,0.069,1.152,,2.419,
Water sample,EH42AN,Glencorse,NT,Central/South,2.182,1.125,,2.406,
Water sample,EH42HA,Glencorse,NT,Central/South,0.169,1.125,,2.304,
Water sample,EH43JZ,Glencorse,NT,Central/South,2.701,1.084,,2.351,
Water sample,EH43PX,Glencorse,NT,Central/South,3.514,1.101,,2.378,
Water sample,EH47DJ,Glencorse,NT,Central/South,0.383,1.125,,2.417,
Water sample,EH53BY,Glencorse,NT,Central/South,0.091,1.129,,2.394,
Water sample,EH53NJ,Glencorse,NT,Central/South,0.227,1.072,,2.343,
Water sample,EH67PL,Glencorse,NT,Central/South,0.839,1.166,,2.464,
