Postcode,Supply_reservoir,OS_grid_region,OS_grouping,Total_Pb,Pb206_207,Pb208_207
AB387QP,Badentinan,NJ,North/Above Central,0.472,1.143,2.421
AB389QN,Badentinan,NJ,North/Above Central,0.532,1.118,2.4
AB554AH,Badentinan,NJ,North/Above Central,2.42,1.164,2.441
AB554FS,Badentinan,NJ,North/Above Central,22.68,1.121,2.471
IV308SL,Badentinan,NJ,North/Above Central,0.276,1.085,2.328
IV308GY,Glenlatterach,NJ,North/Above Central,0.44,1.104,2.356
IV308SW,Glenlatterach,NJ,North/Above Central,0.322,1.091,2.355
AB555FR,Herricks,NJ,North/Above Central,5.782,1.163,2.463
AB157QQ,Mannofield,NJ,North/Above Central,0.198,1.1315,2.417
AB155ES,Mannofield,NJ,North/Above Central,34.95,1.158,2.486
AB243UA,Mannofield,NJ,North/Above Central,0.636,1.152,2.422
AB252QQ,Mannofield,NJ,North/Above Central,2.269,1.156,2.099
IV305GP,Spynie,NJ,North/Above Central,0.132,1.086,2.344
AB417JY,Turriff,NJ,North/Above Central,0.198,1.146,2.435
AB425EU,Turriff,NJ,North/Above Central,1.219,1.159,2.423
AB564BX,Turriff,NJ,North/Above Central,0.347,1.14,2.387
AB420NA,Forehill,NK,North/Above Central,0.149,1.113,2.383
AB438YA,Forehill,NK,North/Above Central,0.747,1.152,2.459
AB438YG,Forehill,NK,North/Above Central,0.648,1.099,2.371
PA344XF,Kilmelford,NM,North/Above Central,0.338,1.164,2.441
PA344RX,Tullich,NM,North/Above Central,0.192,1.068,2.322
PA351HT,Taynuilt,NN,North/Above Central,2.389,1.143,2.415
FK198PB,Balquidder,NN,North/Above Central,0.221,1.1,2.361
PH152HB,Kenmore,NN,North/Above Central,2.783,1.12,2.393
PH152JF,Killiecrankie,NN,North/Above Central,0.261,1.103,2.348
PH165AY,Killiecrankie,NN,North/Above Central,0.694,1.132,2.402
PH165BD,Killiecrankie,NN,North/Above Central,0.335,1.111,2.363
PH165ET,Killiecrankie,NN,North/Above Central,0.497,1.126,2.397
FK218TE,Killin,NN,North/Above Central,1.039,1.185,2.463
PH165PY,Kinloch Rannoch,NN,North/Above Central,0.302,1.114,2.36
PH165PZ,Kinloch Rannoch,NN,North/Above Central,1.714,1.486,2.435
FK198PN,Lochearnhead,NN,North/Above Central,0.191,1.118,2.395
FK198QG,Lochearnhead,NN,North/Above Central,0.622,1.134,2.39
FK188NL,Strathyre,NN,North/Above Central,0.456,1.118,2.381
FK103SG,Turret,NN,North/Above Central,0.356,1.159,2.455
FK125HE,Turret,NN,North/Above Central,0.371,1.089,2.363
FK28DS,Turret,NN,North/Above Central,4.283,1.108,2.33
FK54RH,Turret,NN,North/Above Central,0.156,1.158,2.445
FK94QQ,Turret,NN,North/Above Central,0.322,1.144,2.418
PH73QH,Turret,NN,North/Above Central,1.122,1.121,2.398
FK208RQ,Tyndrum,NN,North/Above Central,1.422,1.144,2.412
DD21QB,Clatto,NO,North/Above Central,0.398,1.12,2.373
DD25AL,Clatto,NO,North/Above Central,0.27,1.152,2.429
DD47HD,Clatto,NO,North/Above Central,1.363,1.076,2.368
DD51ED,Clatto,NO,North/Above Central,1.246,1.178,2.471
DD77PP,Clatto,NO,North/Above Central,2.864,1.168,2.435
DD77QU,Clatto,NO,North/Above Central,1.539,1.154,2.433
AB544GD,Craigie,NO,North/Above Central,0.756,1.134,2.403
KY138AD,Glenfarg,NO,North/Above Central,0.226,1.1,2.35
KY138AY,Glenfarg,NO,North/Above Central,0.384,1.136,2.421
KY138QX,Glenfarg,NO,North/Above Central,0.799,1.142,2.424
AB314FJ,Invercannie,NO,North/Above Central,0.26,1.132,2.374
AB314TE,Invercannie,NO,North/Above Central,12.5,1.169,2.451
AB315SB,Invercannie,NO,North/Above Central,0.308,1.118,2.374
AB315SS,Invercannie,NO,North/Above Central,0.182,1.128,2.385
AB345AA,Invercannie,NO,North/Above Central,0.478,1.15,2.424
AB345BY,Invercannie,NO,North/Above Central,0.593,1.131,2.406
AB345EJ,Invercannie,NO,North/Above Central,13.265,1.136,2.415
AB392DH,Invercannie,NO,North/Above Central,11.36,1.134,2.419
AB392ND,Invercannie,NO,North/Above Central,0.331,1.139,2.424
PH107JL,Kirkmichael,NO,North/Above Central,1.091,1.148,2.409
DD113DE,Lintrathen,NO,North/Above Central,0.302,1.168,2.453
DD82EE,Lintrathen,NO,North/Above Central,0.143,1.131,2.373
DD84DA,Lintrathen,NO,North/Above Central,0.923,1.115,2.396
PH139BP,Lintrathen,NO,North/Above Central,0.183,1.098,2.343
PH12BD,Perth,NO,North/Above Central,0.406,1.119,2.378
PH12UQ,Perth,NO,North/Above Central,0.233,1.101,2.353
PH80RG,Perth,NO,North/Above Central,0.303,1.151,2.423
